num,zone_id,zone_name,left_profile,left_deep,left_mid,left_light,frontal,right_light,right_mid,right_deep,right_profile
1,Z01,forehead_center,support,support,primary,primary,primary,primary,primary,support,support
2,Z02,forehead_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
3,Z03,forehead_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
4,Z04,temple_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
5,Z05,temple_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
6,Z06,glabella,support,support,primary,primary,primary,primary,primary,support,support
7,Z07,nasion,support,support,primary,primary,primary,primary,primary,support,support
8,Z08,nose_dorsum,support,support,primary,primary,primary,primary,primary,support,support
9,Z09,nose_tip,support,support,primary,primary,primary,primary,primary,support,support
10,Z10,ala_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
11,Z11,ala_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
12,Z12,columella,support,support,primary,primary,primary,primary,primary,support,support
13,Z13,upper_eyelid_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
14,Z14,upper_eyelid_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
15,Z15,lower_eyelid_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
16,Z16,lower_eyelid_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
17,Z17,infraorbital_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
18,Z18,infraorbital_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
19,Z19,zygomatic_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
20,Z20,zygomatic_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
21,Z21,upper_cheek_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
22,Z22,upper_cheek_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
23,Z23,mid_cheek_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
24,Z24,mid_cheek_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
25,Z25,nasolabial_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
26,Z26,nasolabial_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
27,Z27,philtrum,support,support,primary,primary,primary,primary,primary,support,support
28,Z28,upper_lip,support,support,primary,primary,primary,primary,primary,support,support
29,Z29,lower_lip,support,support,primary,primary,primary,primary,primary,support,support
30,Z30,mouth_corner_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
31,Z31,mouth_corner_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
32,Z32,below_lip,support,support,primary,primary,primary,primary,primary,support,support
33,Z33,chin_center,support,support,primary,primary,primary,primary,primary,support,support
34,Z34,chin_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
35,Z35,chin_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
36,Z36,jawline_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
37,Z37,jawline_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
38,Z38,lower_jaw_left,support,primary,primary,primary,primary,support,limited,exclude,exclude
39,Z39,lower_jaw_right,exclude,exclude,limited,support,primary,primary,primary,primary,support
40,Z40,submental,support,support,primary,primary,primary,primary,primary,support,support
